ID,genders,pattern,SNR,path1,path2,sentence1,sentence2,duration,overlap_ratio,start1,end1,start2,end2
17,Ж-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30177051.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_36821155.mp3,"Несколько дней спустя герой наш полез в горшок, кажется, за карандашом.","Верно, опять побежал к ней.",6.3,1.0,0.0,6.3,0.0,4.068
18,Ж-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25134070.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_28434594.mp3,Это медленно даже при высокой пропускной способности корпоративной сети организации,Глубинную основу спорта составляет человеческая фантазия.,6.336,1.0,0.0,6.336,0.0,5.04
19,М-М,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_27640219.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_39975161.mp3,"– Позвольте спросить, кто вы таковы?",Законные чаяния сирийского народа должны быть удовлетворены.,3.744,1.0,0.0,3.744,1.872,6.768
20,М-М,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20841504.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37055592.mp3,"Причиной напряженность зачастую становятся невежество, боязнь других и чувство причиненной несправедливости.","Что ж делать, я так сотворен.",8.256,0.7412790697674418,0.0,8.256,4.128,7.188000000000001
21,М-М,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_29565289.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24931774.mp3,"Алмазов, молодой небогатый офицер, только что вернулся из Академии генерального штаба.",Чистота у чукчи в чуме.,6.876,1.0,0.0,6.876,3.438,7.074
22,М-М,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24802329.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19027360.mp3,Не платят оброка.,"К сожалению, все мы помним историю Лиги Наций.",2.484,1.0,0.0,2.484,0.0,3.216
23,М-М,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_35458496.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19142467.mp3,Его мельница даже не может своротить жернов.,"Разумеется, наша делегация предпочитает, чтобы это происходило в рамках программы работы форума.",3.888,1.0,0.0,3.888,0.0,9.192
24,М-М,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18858419.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19575232.mp3,Я глубоко обеспокоен вспышкой насилия вокруг Газы.,Всех крыс до единой.,4.08,1.0,0.0,4.08,0.0,2.424
25,М-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_31480761.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18932624.mp3,"И своя вина, постыдная, непростительная!",Благодарю представителя Канады за ее заявление.,4.644,1.0,0.0,4.644,2.322,6.258
26,М-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37002065.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_38278715.mp3,"Я предупреждал вас о последствиях в религиозном, гражданском и семейном отношениях.","Почему вы не хотите сказать мне, что я сделала?",6.12,1.0,0.0,6.12,3.06,7.848000000000001
27,М-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18933028.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20253789.mp3,"Толстый сук чуть поскрипывает, листва шуршит и вздрагивает.","Сокращение потребления соли — одна из наиболее экономически эффективных, осуществимых и доступного мер здравоохранения.",6.624,1.0,0.0,6.624,3.312,12.479999999999999
28,М-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_39968035.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30601676.mp3,Болгария также с глубоким удовлетворением отмечает проведение совещания высокого уровня по ядерной безопасности.,Куда же их девать?,8.388,0.4721030042918455,0.0,8.388,0.0,1.98
29,М-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25200917.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19527453.mp3,Такое отношение к народу не нравилось Константину Левину.,Первый Комитет принял этот проект резолюции без голосования.,5.256,1.0,0.0,5.256,0.0,7.224
30,М-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_36399064.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26778721.mp3,В темноте она выглядит темно-зеленой.,Этот процесс является постоянным.,3.528,1.0,0.0,3.528,0.0,3.456
31,Ж-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18930596.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18922173.mp3,"Более того, хотелось бы обратить внимание на следующие обстоятельства.",Задержался только один Фигура.,5.304,1.0,0.0,5.304,2.652,5.676
32,Ж-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_36821424.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18953560.mp3,"Живет с другой — киоск в ширину, бельем — шантанная дива.",Каких?,6.696,0.4587813620071685,0.0,6.696,3.348,4.884
33,Ж-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18930776.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_27094313.mp3,Их возможности и перспективы в плане трудоустройства и социально-экономического развития остаются ограниченными.,Мы также подписали Конвенцию о кассетных боеприпасах.,8.856,1.0,0.0,8.856,4.428,9.684000000000001
34,Ж-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_33359360.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18910967.mp3,"Но в то время, как он вставал, он услыхал движение мертвеца.","– Вы кого в вашей опере играете? – присаживаясь на траву, спросила Ольга.",6.048,1.0,0.0,6.048,0.0,6.696
35,Ж-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_32959594.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_33994054.mp3,Анна строго посмотрела на него.,"Да, развод, — краснея повторил Степан Аркадьич.",3.888,1.0,0.0,3.888,0.0,5.94
36,Ж-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18930288.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30177106.mp3,"Много ль за часы-то, Алена Ивановна?",Татьяна,3.936,1.0,0.0,3.936,0.0,2.268
37,М-М,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18976871.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24967867.mp3,Это будет еще лучше.,"Не могу поверить, что ты по-прежнему раз в месяц туда ездишь.",2.928,1.0,0.0,2.928,1.464,6.288
38,М-М,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19133306.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_32065310.mp3,Слишком многое в данном случае поставлено на карту.,Этот прекрасный ребенок внушал ему только чувство гадливости и жалости.,3.984,1.0,0.0,3.984,1.992,7.284
39,М-М,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19057249.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_27707169.mp3,"Мы согласны со всеми в этом зале, что Конференции надо начать предметную работу.","Слава, Слава героям!!!",5.496,1.0,0.0,5.496,2.748,7.788
40,М-М,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19574036.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37269430.mp3,"Канада, Израиль, Соединенные Штаты Америки.",И никакими усилиями воображения нельзя уже было возвратить прежнюю мадам Шталь.,4.536,1.0,0.0,4.536,0.0,6.876
41,М-М,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26996353.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19372768.mp3,– Тебе бы все душить да резать.,Здесь нет легких путей.,2.988,1.0,0.0,2.988,0.0,2.568
42,М-М,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21953764.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18914430.mp3,Миру нельзя возвращаться к религиозным войнам средних веков.,Благодарю представителя Турции за ее заявление.,3.48,1.0,0.0,3.48,0.0,3.984
43,М-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30505139.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_31436215.mp3,Петя придвигает стул к столу и собирается ждать.,Каспийск — интересный город,4.932,1.0,0.0,4.932,2.466,5.742
44,М-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_35457242.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26096632.mp3,"Впрочем, ему не до этого было.","Мы присоединяемся к заявлению, сделанному представителем Египта от имени Движения неприсоединения.",2.88,1.0,0.0,2.88,1.44,7.128
45,М-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19840650.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26086731.mp3,Это обеспечит безопасные условия жизни для всех.,"Кроме того, Совет Безопасности принял меньше резолюций, чем в прошлом году.",3.696,1.0,0.0,3.696,1.848,6.3839999999999995
46,М-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24227308.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_34913843.mp3,"«Что? Каков?» – произнес пошепту голос, от которого я затрепетал.",Дизайн этой буквицы нужно будет доработать.,4.68,1.0,0.0,4.68,0.0,4.5
47,М-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19404833.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18940699.mp3,"Для таких высоко уязвимых стран, как Тувалу, это имеет жизненно важное значение.","Мы собрались сегодня в критически важный момент — возможно, даже решающий момент — для арабского мира.",8.016,1.0,0.0,8.016,0.0,6.264
48,М-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30505160.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_23395044.mp3,Но Степан Аркадьич остановил его.,За столиком.,3.24,1.0,0.0,3.24,0.0,2.376
49,Ж-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_23395132.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18934930.mp3,Город горит.,"С этой забавной девочкой хлебнешь горя, – снова повторила Ольга.",2.376,1.0,0.0,2.376,1.188,6.084
50,Ж-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18914347.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26889792.mp3,"– Так вот… – с досадой пробормотал Квакин, тыкая пальцем в стену.","Опять же я сожалею по поводу любой путаницы, вызванной объявлением параллельного мероприятия.",5.664,1.0,0.0,5.664,2.832,9.888
51,Ж-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18929062.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21515838.mp3,"Оглядевшись, он заметил, что стоит около распивочной.",Как ответственный член международного сообщества Филиппины руководствуются принципами верховенства права во всех своих действиях.,4.416,1.0,0.0,4.416,2.208,12.072000000000001
52,Ж-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25058218.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_29583673.mp3,"Сожалею, что это предложение поступило слишком поздно.",А лучше бы спать.,4.176,1.0,0.0,4.176,0.0,3.06
53,Ж-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26915748.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_36821895.mp3,Сирийская Арабская Республика — это полноправный член Организации Объединенных Наций и поэтому не является исключением.,"Сократа заставили выпить яд за отрицание мифологии, то есть за непокорность суевериям.",8.172,1.0,0.0,8.172,0.0,6.948
54,Ж-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30205844.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_35121392.mp3,Почему ты всегда думаешь только о себе?,"Два соображения подкрепляют наше предположение: во-первых, масса объединена, очевидно, какой-то силой.",3.996,1.0,0.0,3.996,0.0,7.056
55,М-М,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37458410.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30083169.mp3,"Индия признает важность Первого комитета, и мы привержены его работе.","Он размахивает коробочкой, показывает на неё пальцем и очень очень рад.",5.58,1.0,0.0,5.58,2.79,8.118
56,М-М,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_27354257.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25157411.mp3,"Но он сказал совсем не то, что нужно было.",Или мы должны принимать во внимание оба эти аспекта?,2.916,1.0,0.0,2.916,1.458,5.274
57,М-М,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19019770.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30123572.mp3,Укрепление доверия на всех уровнях имеет крайне важное значение для мира и разоружения.,Хорошие люди и не умеют поставить себя на твёрдую ногу.,5.904,1.0,0.0,5.904,2.952,6.84
58,М-М,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21425841.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19156593.mp3,Необходим дальнейший прогресс в этом плане.,В ряду этих достижений особое место занимает Конвенция о биологическом оружии.,3.096,1.0,0.0,3.096,0.0,4.824
59,М-М,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37857352.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18964067.mp3,Похоже у тебя острая интеллектуальная недостаточность.,"Мы всегда говорили, что путь к примирению будет тернистым.",4.104,1.0,0.0,4.104,0.0,3.984
60,М-М,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18932526.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18853966.mp3,Первый момент касается исследования вопроса о прекращении безнаказанности.,"– Я играю старика инвалида, – не переставая возиться у мотоцикла, ответил Георгий.",5.424,1.0,0.0,5.424,0.0,5.688
61,М-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21568937.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20257006.mp3,Мы также хотим подчеркнуть важность активизации механизмов превентивной дипломатии и африканских усилий по миротворчеству.,Таково определение «избранного демократическим путем правительства».,9.696,1.0,0.0,9.696,4.848,10.32
62,М-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19103982.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_36985025.mp3,Сами Нидерланды традиционно проводят политику гласности в отношении своей торговли оружием.,А я не могу писать еще.,6.216,1.0,0.0,6.216,3.108,6.384
63,М-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18965051.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18924374.mp3,С каждым годом круг понимания и поддержки становится все шире.,Но ныне проблемы безопасности являются обязанностью всего международного сообщества.,4.944,1.0,0.0,4.944,2.472,9.336
64,М-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19156718.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18912054.mp3,"Группа ценит поддержку, оказываемую Центру и этому проекту резолюции нынешними и будущими соавторами.",Настало время провести ее оценку.,6.264,1.0,0.0,6.264,0.0,4.224
65,М-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20451797.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18927769.mp3,И опять он заметил выражение испуга в глазах Свияжского.,Фигура плюнул.,5.304,0.8506787330316741,0.0,5.304,0.0,2.256
66,М-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19797276.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_22282878.mp3,"Ему угрожают также нищета, безработица, отсутствие безопасности и отсталость.",Япония намерена наращивать свои усилия по борьбе с терроризмом и его причинами.,7.152,1.0,0.0,7.152,0.0,5.784
67,Ж-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_28882723.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18921494.mp3,Дарья Александровна не возражала.,"Господин Председатель, мы рады видеть, как вы руководите нашей Конференцией.",3.456,1.0,0.0,3.456,1.728,6.792
68,Ж-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18918881.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20387102.mp3,И он тогда поступил крайне неосторожно.,"Ну, по крайней мере он умер геройской смертью.",4.224,1.0,0.0,4.224,2.112,5.976
69,Ж-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_32914947.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_29983403.mp3,И потом она делает столько добра!,Я лежу и выдумываю им казни.,3.636,1.0,0.0,3.636,1.818,5.598
70,Ж-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_29078405.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18928977.mp3,Я лучше расскажу о себе.,Это я в гриме готовился к репетиции.,3.24,1.0,0.0,3.24,0.0,3.456
71,Ж-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25900396.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18912123.mp3,В процессе восстановления этого государства важная роль должна отводиться женщинам.,Даты судебных слушаний пока еще не определены.,5.868,1.0,0.0,5.868,0.0,3.936
72,Ж-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18922942.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_23009350.mp3,"Ревностным охранителем новых демократий в регионе должны быть правительства, построенные по принципу всеобщего участия.","Раз уж я здесь, вот деньги за ведение хозяйства.",9.216,0.8854166666666667,0.0,9.216,0.0,4.08
73,М-М,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21589865.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_35737158.mp3,А сейчас слово имеет посол Китая.,"Деда, а могу я примерить твою панаму?",2.688,1.0,0.0,2.688,1.344,4.44
74,М-М,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20200644.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_22932856.mp3,"Противоречит истории утверждение о том, что оккупированные земли являются израильской территорией.","Значит, на тебя разошлют ориентировку.",6.96,1.0,0.0,6.96,3.48,7.704000000000001
75,М-М,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18933168.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24239288.mp3,"Эти две резолюции, принятые значительным большинством голосов, сопряжены с несколькими последствиями.",Монтаж серверов в стойку,7.944,0.6525679758308157,0.0,7.944,3.972,6.564
76,М-М,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20705476.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19051900.mp3,План действий представляет собой значительный шаг вперед.,"Сейчас я предоставлю слово членам Комиссии, желающим прокомментировать проект программы работы.",4.728,1.0,0.0,4.728,0.0,6.912
77,М-М,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18878573.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_39891736.mp3,"От попыток представить, как работает планетарная коробка передач, у Инны закружилась голова.","Она не могла решиться взглянуть в глаза тем, с кем она жила.",5.856,1.0,0.0,5.856,0.0,4.68
78,М-М,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18933376.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_29367764.mp3,Все сомалийские заинтересованные стороны добились значительного прогресса в реализации основных положений «дорожной карты».,всего,8.064,0.5803571428571428,0.0,8.064,0.0,2.34
79,М-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18963889.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30177064.mp3,Улица похожа на лоскутное одеяло.,Нижний Новгород — лучший город,3.696,1.0,0.0,3.696,1.848,5.448
