ID,genders,pattern,SNR,file1,file2,output_file,sentence1,sentence2,duration,overlap_ratio
17,Ж-Ж,Параллельный диалог,0,common_voice_ru_18922761.mp3,common_voice_ru_20449687.mp3,combo_17.wav,На треск мотоцикла с террасы выскочила Женя.,"Княгиня начала говорить ему, но он не слушал ее.",4.584,1.0
18,Ж-Ж,Параллельный диалог,5,common_voice_ru_18916063.mp3,common_voice_ru_29923967.mp3,combo_18.wav,В это году несколько раз наблюдался значительный отток вкладов населения.,Все замолчали.,5.856,0.47950819672131145
19,М-М,Частичное перекрытие,-5,common_voice_ru_18868348.mp3,common_voice_ru_19559881.mp3,combo_19.wav,Я хочу от тебя ребёнка!,"И, кстати, ряд членов Суда высказал особые мнения.",2.28,0.5
20,М-М,Частичное перекрытие,0,common_voice_ru_38403504.mp3,common_voice_ru_20366600.mp3,combo_20.wav,Работа в составе этого Совета предусматривает выполнение важных обязанностей.,"Если нет возражений, я буду считать, что Комитет готов поступить соответствующим образом.",6.408,0.5
21,М-М,Частичное перекрытие,5,common_voice_ru_19043582.mp3,common_voice_ru_20072077.mp3,combo_21.wav,Я дам слово секретариату.,"Молодой человек, косивший глаза на Эркеля, притронулся к шляпе; Эркель отдал поклон.",3.312,0.5
22,М-М,Параллельный диалог,-5,common_voice_ru_21930479.mp3,common_voice_ru_22498401.mp3,combo_22.wav,Мы уделяем особое внимание проблеме изменения климата и состояния окружающей среды.,три,6.432,0.2462686567164179
23,М-М,Параллельный диалог,0,common_voice_ru_19335083.mp3,common_voice_ru_37210610.mp3,combo_23.wav,Одним из таких вопросов является надежный и стабильный транзит энергоносителей на международные рынки.,Все эти угрозы обострились в результате ливийского кризиса.,7.056,0.7193877551020408
24,М-М,Параллельный диалог,5,common_voice_ru_30637867.mp3,common_voice_ru_36761336.mp3,combo_24.wav,сто тридцать девять лимонов,"Всё это было запущено, но Алексей всё возобновил.",3.276,1.0
25,М-Ж,Частичное перекрытие,-5,common_voice_ru_18970782.mp3,common_voice_ru_22928291.mp3,combo_25.wav,Ты оставил мне на столе записку?,"Здрасте, Верочка, можно?",3.024,0.5
26,М-Ж,Частичное перекрытие,0,common_voice_ru_29004745.mp3,common_voice_ru_18912957.mp3,combo_26.wav,"Говорят, один знаменитый художник рассматривал петуха.",Но тотчас же рот его был зажат широкой ладонью Гейки.,4.68,0.5
27,М-Ж,Частичное перекрытие,5,common_voice_ru_22775451.mp3,common_voice_ru_27016009.mp3,combo_27.wav,Добровольчество — это не панацея.,Есть ли желающие выступить?,3.216,0.5
28,М-Ж,Параллельный диалог,-5,common_voice_ru_20801191.mp3,common_voice_ru_27275992.mp3,combo_28.wav,Мы рассматриваем эту блокаду как серьезное бремя для наших кубинских братьев и сестер.,На похороны Прохора сходить было б неплохо бы.,5.976,0.9216867469879518
29,М-Ж,Параллельный диалог,0,common_voice_ru_34512381.mp3,common_voice_ru_34061223.mp3,combo_29.wav,Сам себе подпишет смертный приговор.,В старое ль станем пялиться?,3.78,1.0
30,М-Ж,Параллельный диалог,5,common_voice_ru_23883151.mp3,common_voice_ru_18920125.mp3,combo_30.wav,ноль,Одним из ключевых вопросов в любой постконфликтной стране является вопрос реформы сектора безопасности.,1.68,1.0
31,Ж-Ж,Частичное перекрытие,-5,common_voice_ru_18917621.mp3,common_voice_ru_31501352.mp3,combo_31.wav,Во имя чего он это делает: ради славы или ради народа?,Алексей Александрович рос сиротой.,6.096,0.5
32,Ж-Ж,Частичное перекрытие,0,common_voice_ru_30601597.mp3,common_voice_ru_18940285.mp3,combo_32.wav,Левин сбирался встать и уйти.,"– Нет, – ответил летчик-капитан, – нашими и вашими товарищами.",3.528,0.5
33,Ж-Ж,Частичное перекрытие,5,common_voice_ru_31382977.mp3,common_voice_ru_28859325.mp3,combo_33.wav,Она сама была довольна собою.,И ненавидит меня.,3.888,0.5
34,Ж-Ж,Параллельный диалог,-5,common_voice_ru_29078143.mp3,common_voice_ru_18919998.mp3,combo_34.wav,Сергею Ивановичу возражал говорун противной партии.,Идея заменить гипсовые повязки напечатанными на трёхмерных принтерах шинами не нова.,5.508,1.0
35,Ж-Ж,Параллельный диалог,0,common_voice_ru_36822289.mp3,common_voice_ru_31383063.mp3,combo_35.wav,А из водосточной трубы на панель выскочили три маленьких кирпичных осколка.,Но слов я не слыхал.,5.76,0.45625
36,Ж-Ж,Параллельный диалог,5,common_voice_ru_22928234.mp3,common_voice_ru_38306445.mp3,combo_36.wav,Слова грубого не скажет.,"Среди кулис, среди теней Ты спасся, незаметный глазу.",3.504,1.0
37,М-М,Частичное перекрытие,-5,common_voice_ru_18921286.mp3,common_voice_ru_20247082.mp3,combo_37.wav,Соединенные Штаты проводят работу по мобилизации ресурсов для восполнения нехватки продовольствия.,Я очень рассчитываю на сотрудничество с ними.,7.752,0.47678018575851394
38,М-М,Частичное перекрытие,0,common_voice_ru_21398728.mp3,common_voice_ru_19070780.mp3,combo_38.wav,"Мы выражаем надежду, что международное сообщество окажет необходимое содействие в реализации этого важного проекта.","Я признательна им всем, и Вам, господин Председатель.",8.016,0.5
39,М-М,Частичное перекрытие,5,common_voice_ru_38546879.mp3,common_voice_ru_25695654.mp3,combo_39.wav,Благодарю посла Индии за его выступление и предоставляю слово послу Венесуэлы.,"Наконец, мы рады прогрессу, достигнутому в ходе подготовки к принятию договора о торговле оружием.",5.508,0.5
40,М-М,Параллельный диалог,-5,common_voice_ru_20957466.mp3,common_voice_ru_39775483.mp3,combo_40.wav,Стратегия Евразийского банка развития включает укрепление позиций в качестве интеллектуального лидера интеграции.,Вы так хвалите всегда мужиков.,7.344,0.4411764705882353
41,М-М,Параллельный диалог,0,common_voice_ru_21383200.mp3,common_voice_ru_30502577.mp3,combo_41.wav,"Тушкевич, Яшвин, княжна Варвара... — представлял он себе— Что ж я-то?","Но я рад, очень рад.",7.056,0.5918367346938775
42,М-М,Параллельный диалог,5,common_voice_ru_37002955.mp3,common_voice_ru_21316711.mp3,combo_42.wav,"Мудрая мысль, стоит запомнить.",Конференция не должна быть жертвой реальностей международной и региональной безопасности.,2.88,1.0
43,М-Ж,Частичное перекрытие,-5,common_voice_ru_21276502.mp3,common_voice_ru_32820944.mp3,combo_43.wav,"Соответственно, возрастает и значение Организации Объединенных Наций.",И теперь как шальной хожу.,4.704,0.5
44,М-Ж,Частичное перекрытие,0,common_voice_ru_19224292.mp3,common_voice_ru_24455000.mp3,combo_44.wav,Мы неизменно привержены скорейшему достижению глобальных целевых показателей.,"Легко можно себе вообразить, что жизнь в Оренбурге была самая несносная.",8.544,0.5
45,М-Ж,Частичное перекрытие,5,common_voice_ru_27645405.mp3,common_voice_ru_30601743.mp3,combo_45.wav,Члены Ассамблеи соблюдают минуту молчания.,Ачинск — приятный город,3.852,0.5
46,М-Ж,Параллельный диалог,-5,common_voice_ru_37103738.mp3,common_voice_ru_21728375.mp3,combo_46.wav,"Спросите у хозяина, — он не знает, что ему выгодно, что невыгодно.",Мьянма решительно осуждает терроризм во всех его формах и проявлениях.,4.716,1.0
47,М-Ж,Параллельный диалог,0,common_voice_ru_20886276.mp3,common_voice_ru_18952556.mp3,combo_47.wav,Домогательство доминирования в космосе есть ложный и бесперспективный маршрут к космической безопасности.,А он тогда говорит.,7.344,0.30718954248366015
48,М-Ж,Параллельный диалог,5,common_voice_ru_30637809.mp3,common_voice_ru_36821979.mp3,combo_48.wav,Обнови страницу,За Краком показалась в тени ольх и статная фигура Степана Аркадьича.,2.7,1.0
49,Ж-Ж,Частичное перекрытие,-5,common_voice_ru_31108976.mp3,common_voice_ru_26923565.mp3,combo_49.wav,Они проговорили до трех часов ночи.,Нам нужна Организация Объединенных Наций.,4.32,0.5
50,Ж-Ж,Частичное перекрытие,0,common_voice_ru_18929107.mp3,common_voice_ru_36821611.mp3,combo_50.wav,Позвольте привести лишь один пример.,"Может, я один действительно жалею, что сегодня нету вас в живых.",3.384,0.5
51,Ж-Ж,Частичное перекрытие,5,common_voice_ru_20864139.mp3,common_voice_ru_20256914.mp3,combo_51.wav,Большой потенциал имеют финансирование по линии частного сектора и новаторские источники финансирования.,А затем мы можем вернуться к его рассмотрению.,6.384,0.5
52,Ж-Ж,Параллельный диалог,-5,common_voice_ru_20388810.mp3,common_voice_ru_20436443.mp3,combo_52.wav,Поощрение и защита прав человека — это общая цель всех стран.,Она ничего не отвечала и только смотрела на него.,5.424,0.7256637168141593
53,Ж-Ж,Параллельный диалог,0,common_voice_ru_21962165.mp3,common_voice_ru_38306449.mp3,combo_53.wav,ноль,Алексей Иванович принуждает меня выйти за него замуж.,1.8,1.0
54,Ж-Ж,Параллельный диалог,5,common_voice_ru_27938415.mp3,common_voice_ru_26086047.mp3,combo_54.wav,"Пожалуйста, подпишите здесь.","Мы ставим благородные цели, а затем подрываем их достижение в процессе составления бюджета.",3.456,1.0
55,М-М,Частичное перекрытие,-5,common_voice_ru_26595567.mp3,common_voice_ru_25843438.mp3,combo_55.wav,Призываем к укреплению роли существующих многосторонних форумов в сфере международной безопасности и разоружения.,Обещаю сделать это очень кратко.,9.108,0.37549407114624506
56,М-М,Частичное перекрытие,0,common_voice_ru_18875321.mp3,common_voice_ru_29367586.mp3,combo_56.wav,Принцип консенсуса сопряжен с преимуществами для многосторонних переговоров.,И пошёл себе дальше.,7.152,0.3976510067114094
57,М-М,Частичное перекрытие,5,common_voice_ru_18929277.mp3,common_voice_ru_22525505.mp3,combo_57.wav,Он ничего не сделал в ответ на жестокие репрессии сирийского режима против мирных демонстрантов.,Firefox,7.224,0.3953488372093023
58,М-М,Параллельный диалог,-5,common_voice_ru_38403581.mp3,common_voice_ru_25248538.mp3,combo_58.wav,"Десять лет прошло таким образом, бесцветно, бесплодно и быстро, страшно быстро.",Он крупный авиаконструктор.,8.208,0.44298245614035087
59,М-М,Параллельный диалог,0,common_voice_ru_19245842.mp3,common_voice_ru_22721952.mp3,combo_59.wav,"Кроме того, ускоряется береговая эрозия.",Было бы более целесообразно назначить заместителей Председателя на эту сессию.,3.744,1.0
60,М-М,Параллельный диалог,5,common_voice_ru_37064694.mp3,common_voice_ru_20417220.mp3,combo_60.wav,Он еще года три тому назад не был в шлюпиках и храбрился.,Инженер слушал с презрительною и бледною улыбкой.,5.868,0.9447852760736196
61,М-Ж,Частичное перекрытие,-5,common_voice_ru_32327429.mp3,common_voice_ru_22940825.mp3,combo_61.wav,"Это вполне обоснованная озабоченность, связанная со всеми возможными последствиями этого решения, последствиями создания прецедента.",Можно и зайца научить курить.,9.0,0.4026666666666667
62,М-Ж,Частичное перекрытие,0,common_voice_ru_26109075.mp3,common_voice_ru_26122672.mp3,combo_62.wav,Вчера я был у него по делу сестры и просил решительного ответа.,Китай принимает активное участие в борьбе с пиратством и в других областях международного сотрудничества.,4.68,0.5
63,М-Ж,Частичное перекрытие,5,common_voice_ru_28241922.mp3,common_voice_ru_26013494.mp3,combo_63.wav,"Но, конечно, мы заинтересованы в том, чтобы привлечь каждого на свою сторону.",Япония будет принимать активное участие в предметных обсуждениях и этих вопросов.,5.22,0.5
64,М-Ж,Параллельный диалог,-5,common_voice_ru_30502950.mp3,common_voice_ru_18929637.mp3,combo_64.wav,Вы мучаетесь.,"Я твердо убежден, что только сам сирийский народ может определять свою судьбу.",3.024,1.0
65,М-Ж,Параллельный диалог,0,common_voice_ru_21133728.mp3,common_voice_ru_38211208.mp3,combo_65.wav,В этом случае я вношу конкретное предложение.,"Если бы Конференции не существовало, ее следовало бы незамедлительно учредить.",3.864,1.0
66,М-Ж,Параллельный диалог,5,common_voice_ru_24396370.mp3,common_voice_ru_18922667.mp3,combo_66.wav,Такие приложения нельзя запустить в кластере или суперкомпьютере,В целях ослабления напряженности посредники проводят обсуждения с Джубой и Хартумом.,4.32,1.0
67,Ж-Ж,Частичное перекрытие,-5,common_voice_ru_18930828.mp3,common_voice_ru_18934182.mp3,combo_67.wav,"Нет, у меня больше нет вопросов.","Прогулявшись по набережной, мы решили поехать домой, так как время уже было позднее.",3.456,0.5
68,Ж-Ж,Частичное перекрытие,0,common_voice_ru_21786197.mp3,common_voice_ru_18953416.mp3,combo_68.wav,"Эту инициативу и молодежь, и родители встретили с большим энтузиазмом.",Сегодня я уже и так отняла у людей немало времени.,5.136,0.5
69,Ж-Ж,Частичное перекрытие,5,common_voice_ru_18927581.mp3,common_voice_ru_18928186.mp3,combo_69.wav,"Что касается Ирландии, то мы не так давно пробрели поучительный опыт миротворчества в Чаде.",Нападения непосредственно на деревни порождают новые потоки беженцев.,8.664,0.5
70,Ж-Ж,Параллельный диалог,-5,common_voice_ru_37190357.mp3,common_voice_ru_36822312.mp3,combo_70.wav,Нет времени проводить реформы.,Мечты о создании новой науки — об отношениях народа к земле.,5.256,1.0
71,Ж-Ж,Параллельный диалог,0,common_voice_ru_28915068.mp3,common_voice_ru_36821221.mp3,combo_71.wav,"Такой уж я человек, что все меня гоняют.","Проходя через переднюю, он велел закладывать коляску, чтобы ехать на станцию.",4.5,1.0
72,Ж-Ж,Параллельный диалог,5,common_voice_ru_36873552.mp3,common_voice_ru_18918371.mp3,combo_72.wav,"Он понимал, что делалось в душе Левина.",И ее активизация как никогда актуальна.,4.536,0.8412698412698413
73,М-М,Частичное перекрытие,-5,common_voice_ru_19101026.mp3,common_voice_ru_18982058.mp3,combo_73.wav,Сейчас он проходит процесс ратификации в иракском парламенте.,Благодарю представителя Беларуси за его заявление.,4.848,0.5
74,М-М,Частичное перекрытие,0,common_voice_ru_20190311.mp3,common_voice_ru_37185696.mp3,combo_74.wav,Сейчас мы примем по нему решение.,"Но за что я его ценю, так это за то, что он мне покорен.",3.504,0.5
75,М-М,Частичное перекрытие,5,common_voice_ru_18987328.mp3,common_voice_ru_24286204.mp3,combo_75.wav,"Таким образом, по мнению Франции, правило консенсуса является условием эффективной многосторонности.",И вы мне меняли налим на линя.,7.056,0.49489795918367346
76,М-М,Параллельный диалог,-5,common_voice_ru_37003497.mp3,common_voice_ru_21779565.mp3,combo_76.wav,Она требует от своих героев силы и даже насилия.,Вот уже четыре года напряженно трудится Группа правительственных экспертов по кассетным боеприпасам.,4.068,1.0
77,М-М,Параллельный диалог,0,common_voice_ru_18878819.mp3,common_voice_ru_31470904.mp3,combo_77.wav,"Но учреждением культуры он становится только в том случае, если туда приходит публика.","Я бы устроил общественный зал, где бы, скажем, раз в месяц собиралась вся молодежь.",5.976,1.0
78,М-М,Параллельный диалог,5,common_voice_ru_19367428.mp3,common_voice_ru_29979934.mp3,combo_78.wav,Мы привержены самой идее Организации Объединенных Наций.,Тот снова засмеялся.,4.2,0.5914285714285714
79,М-Ж,Частичное перекрытие,-5,common_voice_ru_37866401.mp3,common_voice_ru_18912490.mp3,combo_79.wav,Но какая гувернантка!,Ее присутствие по-прежнему необходимо правительству Гаити.,3.708,0.5
80,М-Ж,Частичное перекрытие,0,common_voice_ru_18881237.mp3,common_voice_ru_18920229.mp3,combo_80.wav,Поэтому Конференция незаменима в качестве единственного многостороннего форума переговоров по разоружению.,Это был такой профессор Виталий Иванович Кузнецов.,6.696,0.5
81,М-Ж,Частичное перекрытие,5,common_voice_ru_34512073.mp3,common_voice_ru_18912321.mp3,combo_81.wav,"Верно, опять зашел на пчельник.",Все обернулись и расступились.,3.708,0.5
82,М-Ж,Параллельный диалог,-5,common_voice_ru_20506555.mp3,common_voice_ru_31501354.mp3,combo_82.wav,"Но неужели это правда, что вы решились на развод?",Пританцовывает к репе и начинает её тянуть.,4.44,1.0
83,М-Ж,Параллельный диалог,0,common_voice_ru_37023858.mp3,common_voice_ru_22928328.mp3,combo_83.wav,"Опасаюсь, что задача эта будет нелегкой.","Толя, лови момент.",3.816,0.9182389937106918
84,М-Ж,Параллельный диалог,5,common_voice_ru_35688150.mp3,common_voice_ru_26095882.mp3,combo_84.wav,"Я этим только могу отплатить за те выгоды, которыми я пользуюсь как землевладелец.","Я не приняла от него денег, и не приму.",5.148,0.5664335664335665
85,Ж-Ж,Частичное перекрытие,-5,common_voice_ru_24455022.mp3,common_voice_ru_18917692.mp3,combo_85.wav,Позвольте мне также поблагодарить Секретаря Комиссии господина Сергея Чернявского за его неизменную помощь.,– Готово? – спросил Тимур.,8.1,0.38222222222222224
86,Ж-Ж,Частичное перекрытие,0,common_voice_ru_18922756.mp3,common_voice_ru_27067271.mp3,combo_86.wav,Тогда Фигура пустился на хитрость.,"Тимур взволнован, но он крепится.",3.624,0.5
87,Ж-Ж,Частичное перекрытие,5,common_voice_ru_27097189.mp3,common_voice_ru_29234198.mp3,combo_87.wav,Они дух во мне смутили,По какому принципу ты оцениваешь людей?,4.536,0.5
88,Ж-Ж,Параллельный диалог,-5,common_voice_ru_21796117.mp3,common_voice_ru_25900350.mp3,combo_88.wav,Расширяется практика организации открытых прений и брифингов.,Мы призываем все государства полностью выполнять обязательства по данной Конвенции.,5.064,1.0
89,Ж-Ж,Параллельный диалог,0,common_voice_ru_18940596.mp3,common_voice_ru_26889748.mp3,combo_89.wav,"Эти глубокие задачи были связаны с теми проблемами, которые решала страна.","Однако сейчас, вместо того чтобы руководствоваться духом диалога и примирения, Канада избрала путь конфронтации.",5.064,1.0
90,Ж-Ж,Параллельный диалог,5,common_voice_ru_36829063.mp3,common_voice_ru_18921590.mp3,combo_90.wav,"На крыше, где сидели оба чертежника, произошло событие, не могущее быть незамеченным.","Пакистан привержен миру, стабильности и развитию в Афганистане.",7.308,0.555008210180624
